CLOSE_DEF_PERSON_ID, PLAYER_NAME, PLAYER_LAST_TEAM_ID, PLAYER_LAST_TEAM_ABBREVIATION, PLAYER_POSITION, AGE, GP, G, FREQ, D_FGM, D_FGA, D_FG_PCT, PCT_PLUSMINUS
1627772, Daniel Hamilton, 1610612760, OKC, G-F, 22.0, 6, 6, 1.0, 0.83, 1.83, 0.455, 0.042
202713, Kyle Singler, 1610612760, OKC, F, 30.0, 6, 6, 1.0, 0.67, 1.83, 0.364, -0.097
204098, Xavier Munford, 1610612749, MIL, G, 26.0, 4, 4, 1.0, 1.0, 1.75, 0.571, 0.163
204065, David Stockton, 1610612762, UTA, G, 27.0, 3, 3, 1.0, 1.0, 1.67, 0.6, 0.156
1628429, Charles Cooke, 1610612740, NOP, G, 23.0, 7, 7, 1.0, 0.57, 1.57, 0.364, -0.061
201177, Josh McRoberts, 1610612742, DAL, F-C, 31.0, 2, 2, 1.0, 1.0, 1.5, 0.667, 0.272
1627779, Marcus Paige, 1610612766, CHA, G, 24.0, 4, 4, 1.0, 0.5, 1.5, 0.333, -0.07
1626643, Jacob Pullen, 1610612755, PHI, G, 28.0, 2, 2, 1.0, 0.5, 1.5, 0.333, -0.077
202332, Cole Aldrich, 1610612750, MIN, C, 29.0, 12, 12, 1.0, 0.92, 1.5, 0.611, 0.157
1627817, Tim Quarterman, 1610612745, HOU, G, 23.0, 3, 3, 1.0, 0.67, 1.33, 0.5, 0.088
1628410, Edmond Sumner, 1610612754, IND, G, 22.0, 1, 1, 1.0, 1.0, 1.0, 1.0, 0.64
1628475, Matt Williams Jr., 1610612748, MIA, G, 24.0, 2, 2, 1.0, 0.0, 1.0, 0.0, -0.448
203687, Reggie Hearn, 1610612765, DET, G, 26.0, 2, 2, 1.0, 0.0, 1.0, 0.0, -0.401
202682, Derrick Williams, 1610612747, LAL, F, 27.0, 1, 1, 1.0, 0.0, 1.0, 0.0, -0.508
1628571, Erik McCree, 1610612762, UTA, F, 24.0, 1, 1, 1.0, 1.0, 1.0, 1.0, 0.554
202330, Gordon Hayward, 1610612738, BOS, F, 28.0, 1, 1, 1.0, 1.0, 1.0, 1.0, 0.547
1628500, Ben Moore, 1610612754, IND, F, 23.0, 2, 2, 1.0, 0.5, 1.0, 0.5, 0.105
1626148, Anthony Brown, 1610612750, MIN, F-G, 25.0, 1, 1, 1.0, 1.0, 1.0, 1.0, 0.581
