CLOSE_DEF_PERSON_ID, PLAYER_NAME, PLAYER_LAST_TEAM_ID, PLAYER_LAST_TEAM_ABBREVIATION, PLAYER_POSITION, AGE, GP, G, FREQ, D_FGM, D_FGA, D_FG_PCT, PCT_PLUSMINUS
1628492, Gian Clavell, 1610612742, DAL, G, 24.0, 6, 6, 1.0, 1.5, 3.83, 0.391, -0.031
1627846, Abdel Nader, 1610612738, BOS, F, 24.0, 42, 42, 1.0, 1.9, 3.79, 0.503, 0.073
203464, Brandon Paul, 1610612759, SAS, G, 27.0, 45, 45, 1.0, 1.64, 3.78, 0.435, -0.008
1627762, Joel Bolomboy, 1610612749, MIL, F-C, 24.0, 4, 4, 1.0, 2.25, 3.75, 0.6, 0.124
203998, Bruno Caboclo, 1610612758, SAC, F, 22.0, 9, 9, 1.0, 1.33, 3.56, 0.375, -0.086
1627824, Guerschon Yabusele, 1610612738, BOS, F, 22.0, 27, 27, 1.0, 1.85, 3.52, 0.526, 0.085
1627788, Furkan Korkmaz, 1610612755, PHI, G-F, 20.0, 11, 11, 1.0, 1.73, 2.73, 0.633, 0.212
1628493, Mangok Mathiang, 1610612766, CHA, F-C, 25.0, 3, 3, 1.0, 1.0, 2.33, 0.429, -0.029
1626242, Luis Montero, 1610612765, DET, G, 25.0, 2, 2, 1.0, 0.0, 1.5, 0.0, -0.386
1627852, Nicolas Brussino, 1610612737, ATL, F, 25.0, 2, 2, 1.0, 0.5, 1.5, 0.333, -0.171
203816, Scotty Hopson, 1610612742, DAL, G, 28.0, 1, 1, 1.0, 0.0, 1.0, 0.0, -0.531
203489, Nate Wolters, 1610612762, UTA, G, 27.0, 2, 2, 1.0, 0.5, 1.0, 0.5, 0.073
